group0,group1,group2,marka,model,catalog_number,reason
гидравлический компонент,редуктор,редуктор хода,cat,325,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,hitachi,ZX200-5G,,Not found on Avito
запчасти двигателя,форсунка,,hitachi,ZX330,,Not found on Avito
гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,volvo,EC240,,Not found on Avito
запчасти двигателя,фильтра,,hitachi,ZX200-5G,,Not found on Avito
рабочее оборудование,трапеция,,komatsu,PC200-7,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,cat,320,,Not found on Avito
запчасти двигателя,фильтра,!,hyundai,R170W-7,,Not found on Avito
рабочее оборудование,пальцы и втулки,пальцы,hitachi,ZX330,,Not found on Avito
рабочее оборудование,пальцы и втулки,пальцы,volvo,EC240,,Not found on Avito
рабочее оборудование,пальцы и втулки,!,hyundai,R140W-7,,Not found on Avito
рабочее оборудование,пальцы и втулки,пальцы,komatsu,PC200-7,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,cat,322,,Not found on Avito
ходовая часть,натяжитель,натяжитель в сборе,hitachi,ZX200-5G,,Not found on Avito
рабочее оборудование,пальцы и втулки,пальцы,hitachi,ZX330,,Not found on Avito
гидравлический компонент,гидроцилиндр,гидроцилиндр стрелы,hitachi,ZX330,,Not found on Avito
рабочее оборудование,пальцы и втулки,!,hyundai,R210,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,cat,330,,Not found on Avito
гидравлический компонент,джойстик,,komatsu,PC200-7,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,cat,322,,Not found on Avito
гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,komatsu,PC200-7,,Not found on Avito
гидравлический компонент,гидронасос,гидронасос основной,hitachi,ZX200-5G,,Not found on Avito
гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,hitachi,ZX330,,Not found on Avito
рабочее оборудование,пальцы и втулки,!,hyundai,R360LC-7,,Not found on Avito
запчасти двигателя,фильтра,!,hyundai,R320LC-7,,Not found on Avito
гидравлический компонент,редуктор,редуктор хода,cat,330,,Not found on Avito
